i_node,j_node,origin_zone,dest_zone,demand,segment_num,cost_minutes,length_metres,edge_type,WKT,od_pair,location_desc
2050,13377,30402108717,30403109301,22.0068172,133,0.28966311,64.36958,network,"LINESTRING(152.9732034 -27.5070826,152.9730227 -27.5076407)",30402108717_30403109301,Walter Taylor Bridge
13377,150872,30402108717,30403109301,22.0068172,134,0.510693525,113.48745,network,"LINESTRING(152.972732 -27.5086305,152.9730227 -27.5076407)",30402108717_30403109301,Walter Taylor Bridge
150872,5752,30402108717,30403109301,22.0068172,135,0.233600895,51.91131,network,"LINESTRING(152.9726776 -27.5090964,152.972732 -27.5086305)",30402108717_30403109301,Walter Taylor Bridge
5752,71435,30402108717,30403109301,22.0068172,136,0.1446894,48.2298,network,"LINESTRING(152.9726467 -27.5095306,152.9726776 -27.5090964)",30402108717_30403109301,Walter Taylor Bridge
71435,116939,30402108717,30403109301,22.0068172,137,0.06402828,21.34276,network,"LINESTRING(152.9726453 -27.5097232,152.9726467 -27.5095306)",30402108717_30403109301,Walter Taylor Bridge
116939,116938,30402108717,30403109301,22.0068172,138,0.53501823,178.33941,network,"LINESTRING(152.9725555 -27.5113306,152.9726453 -27.5097232)",30402108717_30403109301,Walter Taylor Bridge
116938,43216,30402108717,30403109301,22.0068172,139,0.21898737,72.99579,network,"LINESTRING(152.972523 -27.5119887,152.9725555 -27.5113306)",30402108717_30403109301,Walter Taylor Bridge
43216,43225,30402108717,30403109301,22.0068172,140,0.30191892,100.63964,network,"LINESTRING(152.9725162 -27.5128957,152.972523 -27.5119887)",30402108717_30403109301,Walter Taylor Bridge
43225,43218,30402108717,30403109301,22.0068172,141,0.21159138,70.53046,network,"LINESTRING(152.9726106 -27.5135266,152.9725162 -27.5128957)",30402108717_30403109301,Walter Taylor Bridge
43218,43268,30402108717,30403109301,22.0068172,142,0.23272353,77.57451,network,"LINESTRING(152.9727496 -27.5142156,152.9726106 -27.5135266)",30402108717_30403109301,Walter Taylor Bridge
43268,71437,30402108717,30403109301,22.0068172,143,0.69671073,232.23691,network,"LINESTRING(152.9735406 -27.5161872,152.9727496 -27.5142156)",30402108717_30403109301,Walter Taylor Bridge
71437,43264,30402108717,30403109301,22.0068172,144,0.19530222,65.10074,network,"LINESTRING(152.9738017 -27.5167266,152.9735406 -27.5161872)",30402108717_30403109301,Walter Taylor Bridge
43264,43533,30402108717,30403109301,22.0068172,145,0.33111909,110.37303,network,"LINESTRING(152.9742444 -27.5176411,152.9738017 -27.5167266)",30402108717_30403109301,Walter Taylor Bridge
43533,43236,30402108717,30403109301,22.0068172,146,0.03400314,11.33438,network,"LINESTRING(152.9742959 -27.5177325,152.9742444 -27.5176411)",30402108717_30403109301,Walter Taylor Bridge
43236,43240,30402108717,30403109301,22.0068172,147,0.34466013,114.88671,network,"LINESTRING(152.9747467 -27.5186882,152.9742959 -27.5177325)",30402108717_30403109301,Walter Taylor Bridge
43240,43241,30402108717,30403109301,22.0068172,148,0.02993121,9.97707,network,"LINESTRING(152.9747467 -27.5186882,152.9746473 -27.5186723)",30402108717_30403109301,Walter Taylor Bridge
43241,43245,30402108717,30403109301,22.0068172,149,0.254563101,94.28263,network,"LINESTRING(152.9750053 -27.519461,152.9746473 -27.5186723)",30402108717_30403109301,Walter Taylor Bridge
43245,43401,30402108717,30403109301,22.0068172,150,0.249552657,92.42691,network,"LINESTRING(152.9753584 -27.5202334,152.9750053 -27.519461)",30402108717_30403109301,Walter Taylor Bridge
43401,116921,30402108717,30403109301,22.0068172,151,0.238524048,88.34224,network,"LINESTRING(152.975681 -27.5209677,152.9753584 -27.5202334)",30402108717_30403109301,Walter Taylor Bridge
116921,116925,30402108717,30403109301,22.0068172,152,0.019253484,7.13092,network,"LINESTRING(152.975692 -27.5210313,152.975681 -27.5209677)",30402108717_30403109301,Walter Taylor Bridge
116925,61654,30402108717,30403109301,22.0068172,153,0.245515455,90.93165,network,"LINESTRING(152.9760607 -27.5217587,152.975692 -27.5210313)",30402108717_30403109301,Walter Taylor Bridge
61654,61655,30402108717,30403109301,22.0068172,154,0.02078361,6.92787,network,"LINESTRING(152.9760607 -27.5217587,152.9761284 -27.5217424)",30402108717_30403109301,Walter Taylor Bridge
61655,241966,30402108717,30403109301,22.0068172,155,0.15798552,52.66184,network,"LINESTRING(152.9763312 -27.5221819,152.9761284 -27.5217424)",30402108717_30403109301,Walter Taylor Bridge
241966,241968,30402108717,30403109301,22.0068172,156,0.15849477,52.83159,network,"LINESTRING(152.9765347 -27.5226228,152.9763312 -27.5221819)",30402108717_30403109301,Walter Taylor Bridge
241968,241964,30402108717,30403109301,22.0068172,157,0.09375534,31.25178,network,"LINESTRING(152.9766551 -27.5228836,152.9765347 -27.5226228)",30402108717_30403109301,Walter Taylor Bridge
241964,61677,30402108717,30403109301,22.0068172,158,0.09558258,31.86086,network,"LINESTRING(152.9767778 -27.5231495,152.9766551 -27.5228836)",30402108717_30403109301,Walter Taylor Bridge
61677,2513,30402108717,30403109301,22.0068172,159,0.45095769,150.31923,network,"LINESTRING(152.9773581 -27.5244035,152.9767778 -27.5231495)",30402108717_30403109301,Walter Taylor Bridge
2513,6877,30402108717,30403109301,22.0068172,160,0.17114301,57.04767,network,"LINESTRING(152.9773581 -27.5244035,152.9779314 -27.5244652)",30402108717_30403109301,Walter Taylor Bridge
6877,27881,30402108717,30403109301,22.0068172,161,0.13630734,45.43578,network,"LINESTRING(152.9779314 -27.5244652,152.9781151 -27.5248411)",30402108717_30403109301,Walter Taylor Bridge
