zone_id,zone_x,zone_y,node_id,node_x,node_y,length_metres,cost_minutes,WKT
30202103215,153.0032334,-27.40596094,25737,153.0039632,-27.4059507,72.18536751,0,"LINESTRING(153.00323337826 -27.4059609440697,153.0039632 -27.4059507)"
30202103216,152.999403,-27.40271575,62093,152.9996637,-27.4031551,55.08900444,0,"LINESTRING(152.99940303211 -27.4027157461624,152.9996637 -27.4031551)"
30202103217,152.9996997,-27.40591394,105027,153.000226,-27.4053522,81.14266512,0,"LINESTRING(152.999699662939 -27.4059139421629,153.000226 -27.4053522)"
30202103218,153.0037661,-27.40960514,38991,153.0030989,-27.4094763,67.50716673,0,"LINESTRING(153.003766088376 -27.409605144717,153.0030989 -27.4094763)"
30202103219,153.0207223,-27.41231804,11443,153.0204838,-27.4125106,31.80638337,0,"LINESTRING(153.020722318478 -27.4123180399936,153.0204838 -27.4125106)"
30202103220,153.0134917,-27.41627528,97259,153.0137842,-27.4161716,31.12426939,0,"LINESTRING(153.013491680455 -27.416275278017,153.0137842 -27.4161716)"
30202103221,153.0177095,-27.41275835,28721,153.0176618,-27.4131305,41.50745595,0,"LINESTRING(153.017709516398 -27.412758346309,153.0176618 -27.4131305)"
30202103222,153.0191188,-27.40828811,40260,153.0200107,-27.4089833,117.1105839,0,"LINESTRING(153.019118755537 -27.4082881057711,153.0200107 -27.4089833)"
30202103223,153.0186628,-27.41583991,97213,153.019417,-27.4156865,76.49097563,0,"LINESTRING(153.018662828296 -27.4158399144943,153.019417 -27.4156865)"
30202103224,153.0184242,-27.40968088,11433,153.0188425,-27.4107359,124.0112141,0,"LINESTRING(153.018424155188 -27.4096808790543,153.0188425 -27.4107359)"
30202103225,153.005312,-27.41209615,38999,153.0047112,-27.4119291,62.23393403,0,"LINESTRING(153.005312037651 -27.4120961522926,153.0047112 -27.4119291)"
30202103301,152.9998376,-27.39789624,184869,152.99942,-27.3978381,41.7983099,0,"LINESTRING(152.999837568522 -27.3978962382432,152.99942 -27.3978381)"
30202103302,153.0021446,-27.40006067,184872,153.0020226,-27.4001988,19.49030618,0,"LINESTRING(153.002144597282 -27.4000606662045,153.0020226 -27.4001988)"
30202103303,153.004985,-27.39808527,184880,153.0049158,-27.3982348,17.92787358,0,"LINESTRING(153.004985026114 -27.3980852735177,153.0049158 -27.3982348)"
